ticker,earnings_date,fiscal_quarter,fiscal_quarter_end
CVX,2014-11-07,2013Q3,2013-09-30
CVX,2015-02-20,2011Q4,2011-12-31
CVX,2015-05-07,2014Q1,2014-03-31
CVX,2015-08-05,2014Q2,2014-06-30
CVX,2015-11-06,2014Q3,2014-09-30
CVX,2016-02-25,2012Q4,2012-12-31
CVX,2016-05-05,2015Q1,2015-03-31
CVX,2016-08-04,2015Q2,2015-06-30
CVX,2016-11-03,2015Q3,2015-09-30
CVX,2017-02-23,2013Q4,2013-12-31
CVX,2017-05-04,2016Q1,2016-03-31
CVX,2017-08-03,2016Q2,2016-06-30
CVX,2017-11-02,2016Q3,2016-09-30
CVX,2018-02-22,2014Q4,2014-12-31
CVX,2018-05-03,2017Q1,2017-03-31
CVX,2018-08-02,2017Q2,2017-06-30
CVX,2018-11-08,2017Q3,2017-09-30
CVX,2019-02-22,2015Q4,2015-12-31
CVX,2019-08-07,2018Q1,2018-03-31
CVX,2019-11-07,2018Q2,2018-06-30
CVX,2019-11-07,2018Q3,2018-09-30
CVX,2020-02-21,2016Q4,2016-12-31
CVX,2021-02-25,2017Q4,2017-12-31
CVX,2022-02-24,2018Q4,2018-12-31
CVX,2023-02-23,2019Q4,2019-12-31
DUK,2014-02-28,2010Q4,2010-12-31
DUK,2014-02-28,2012Q1,2012-03-31
DUK,2014-02-28,2012Q2,2012-06-30
DUK,2014-02-28,2012Q3,2012-09-30
DUK,2015-03-02,2011Q4,2011-12-31
DUK,2015-03-02,2013Q1,2013-03-31
DUK,2015-03-02,2013Q2,2013-06-30
DUK,2015-03-02,2013Q3,2013-09-30
DUK,2016-02-25,2012Q4,2012-12-31
DUK,2016-02-25,2014Q1,2014-03-31
DUK,2016-02-25,2014Q2,2014-06-30
DUK,2016-02-25,2014Q3,2014-09-30
DUK,2017-02-24,2013Q4,2013-12-31
DUK,2017-02-24,2015Q1,2015-03-31
DUK,2017-02-24,2015Q2,2015-06-30
DUK,2017-02-24,2015Q3,2015-09-30
