ticker,earnings_date,fiscal_quarter,fiscal_quarter_end
PLD,2023-02-14,2019Q4,2019-12-31
PLD,2023-02-14,2021Q1,2021-03-31
PLD,2023-02-14,2021Q2,2021-06-30
PLD,2023-02-14,2021Q3,2021-09-30
UNH,2014-02-12,2010Q4,2010-12-31
UNH,2014-02-12,2012Q1,2012-03-31
UNH,2014-02-12,2012Q2,2012-06-30
UNH,2014-02-12,2012Q3,2012-09-30
UNH,2014-05-06,2013Q1,2013-03-31
UNH,2014-08-04,2013Q2,2013-06-30
UNH,2014-11-10,2013Q3,2013-09-30
UNH,2015-02-10,2011Q4,2011-12-31
UNH,2015-05-06,2014Q1,2014-03-31
UNH,2015-07-29,2014Q2,2014-06-30
UNH,2015-11-05,2014Q3,2014-09-30
UNH,2016-02-09,2012Q4,2012-12-31
UNH,2016-05-04,2015Q1,2015-03-31
UNH,2016-08-02,2015Q2,2015-06-30
UNH,2016-11-08,2015Q3,2015-09-30
UNH,2017-02-08,2013Q4,2013-12-31
UNH,2017-05-08,2016Q1,2016-03-31
UNH,2017-08-04,2016Q2,2016-06-30
UNH,2017-11-07,2016Q3,2016-09-30
UNH,2018-02-13,2014Q4,2014-12-31
UNH,2018-05-07,2017Q1,2017-03-31
UNH,2018-08-07,2017Q2,2017-06-30
UNH,2018-11-08,2017Q3,2017-09-30
UNH,2019-02-12,2015Q4,2015-12-31
UNH,2019-08-07,2018Q1,2018-03-31
UNH,2019-11-06,2018Q2,2018-06-30
UNH,2019-11-06,2018Q3,2018-09-30
UNH,2020-02-14,2016Q4,2016-12-31
UNH,2020-08-03,2019Q1,2019-03-31
UNH,2020-11-02,2019Q2,2019-06-30
UNH,2020-11-02,2019Q3,2019-09-30
UNH,2021-03-01,2017Q4,2017-12-31
UNH,2021-08-03,2020Q1,2020-03-31
UNH,2021-11-03,2020Q2,2020-06-30
UNH,2021-11-03,2020Q3,2020-09-30
UNH,2022-02-15,2018Q4,2018-12-31
UNH,2022-08-03,2021Q1,2021-03-31
UNH,2022-11-02,2021Q2,2021-06-30
UNH,2022-11-02,2021Q3,2021-09-30
UNH,2023-02-24,2019Q4,2019-12-31
UNH,2023-08-02,2022Q1,2022-03-31
UNH,2023-11-06,2022Q2,2022-06-30
UNH,2023-11-06,2022Q3,2022-09-30
UPS,2014-02-28,2011Q4,2011-12-31
UPS,2014-02-28,2012Q1,2012-03-31
UPS,2014-02-28,2012Q2,2012-06-30
UPS,2014-02-28,2012Q3,2012-09-30
UPS,2015-02-27,2010Q4,2010-12-31
UPS,2015-02-27,2013Q1,2013-03-31
UPS,2015-02-27,2013Q2,2013-06-30
UPS,2015-02-27,2013Q3,2013-09-30
UPS,2016-02-25,2012Q4,2012-12-31
UPS,2016-02-25,2014Q1,2014-03-31
UPS,2016-02-25,2014Q2,2014-06-30
UPS,2016-02-25,2014Q3,2014-09-30
UPS,2017-02-21,2013Q4,2013-12-31
UPS,2017-02-21,2015Q1,2015-03-31
UPS,2017-02-21,2015Q2,2015-06-30
UPS,2017-02-21,2015Q3,2015-09-30
UPS,2018-02-21,2014Q4,2014-12-31
UPS,2018-02-21,2016Q1,2016-03-31
UPS,2018-02-21,2016Q2,2016-06-30
UPS,2018-02-21,2016Q3,2016-09-30
UPS,2019-02-21,2015Q4,2015-12-31
UPS,2019-02-21,2017Q1,2017-03-31
UPS,2019-02-21,2017Q2,2017-06-30
UPS,2019-02-21,2017Q3,2017-09-30
UPS,2020-02-20,2016Q4,2016-12-31
UPS,2020-02-20,2018Q1,2018-03-31
UPS,2020-02-20,2018Q2,2018-06-30
UPS,2020-02-20,2018Q3,2018-09-30
UPS,2021-02-22,2017Q4,2017-12-31
UPS,2021-02-22,2019Q1,2019-03-31
UPS,2021-02-22,2019Q2,2019-06-30
UPS,2021-02-22,2019Q3,2019-09-30
UPS,2021-05-05,2020Q1,2020-03-31
UPS,2021-08-06,2020Q2,2020-06-30
UPS,2021-11-04,2020Q3,2020-09-30
UPS,2022-02-22,2018Q4,2018-12-31
UPS,2022-05-04,2021Q1,2021-03-31
UPS,2022-08-03,2021Q2,2021-06-30
UPS,2022-11-02,2021Q3,2021-09-30
UPS,2023-02-21,2019Q4,2019-12-31
UPS,2023-05-03,2022Q1,2022-03-31
UPS,2023-08-08,2022Q2,2022-06-30
UPS,2023-11-01,2022Q3,2022-09-30
V,2017-02-02,2015Q4,2015-12-31
V,2017-04-21,2016Q1,2016-03-31
V,2017-07-20,2016Q2,2016-06-30
V,2018-02-01,2016Q4,2016-12-31
V,2018-04-27,2017Q1,2017-03-31
V,2018-07-27,2017Q2,2017-06-30
V,2018-11-16,2015Q3,2015-09-30
V,2019-04-26,2017Q4,2017-12-31
V,2019-11-14,2016Q3,2016-09-30
V,2020-11-19,2017Q3,2017-09-30
V,2020-11-19,2018Q1,2018-03-31
V,2020-11-19,2018Q2,2018-06-30
V,2020-11-19,2018Q4,2018-12-31
V,2021-11-18,2018Q3,2018-09-30
V,2021-11-18,2019Q1,2019-03-31
V,2021-11-18,2019Q2,2019-06-30
V,2021-11-18,2019Q4,2019-12-31
V,2022-11-16,2019Q3,2019-09-30
V,2022-11-16,2020Q1,2020-03-31
V,2022-11-16,2020Q2,2020-06-30
V,2022-11-16,2020Q4,2020-12-31
V,2023-01-27,2021Q1,2021-03-31
V,2023-01-27,2021Q2,2021-06-30
V,2023-04-27,2021Q4,2021-12-31
V,2023-07-26,2022Q1,2022-03-31
V,2023-07-26,2022Q2,2022-06-30
V,2023-11-15,2020Q3,2020-09-30
WMT,2014-03-21,2011Q1,2011-01-31
WMT,2014-03-21,2012Q2,2012-04-30
WMT,2014-03-21,2012Q3,2012-07-31
WMT,2014-03-21,2012Q4,2012-10-31
WMT,2015-04-01,2012Q1,2012-01-31
WMT,2015-04-01,2013Q2,2013-04-30
WMT,2015-04-01,2013Q3,2013-07-31
WMT,2015-04-01,2013Q4,2013-10-31
WMT,2016-03-30,2013Q1,2013-01-31
WMT,2016-03-30,2014Q2,2014-04-30
WMT,2016-03-30,2014Q3,2014-07-31
WMT,2016-03-30,2014Q4,2014-10-31
WMT,2017-03-31,2014Q1,2014-01-31
WMT,2017-03-31,2015Q2,2015-04-30
WMT,2017-03-31,2015Q3,2015-07-31
WMT,2017-03-31,2015Q4,2015-10-31
WMT,2018-03-30,2015Q1,2015-01-31
WMT,2018-03-30,2016Q2,2016-04-30
WMT,2018-03-30,2016Q3,2016-07-31
WMT,2018-03-30,2016Q4,2016-10-31
WMT,2019-03-28,2016Q1,2016-01-31
WMT,2019-03-28,2017Q2,2017-04-30
WMT,2019-03-28,2017Q3,2017-07-31
WMT,2019-03-28,2017Q4,2017-10-31
WMT,2020-03-20,2017Q1,2017-01-31
WMT,2020-03-20,2018Q2,2018-04-30
WMT,2020-03-20,2018Q3,2018-07-31
WMT,2020-03-20,2018Q4,2018-10-31
WMT,2020-12-02,2019Q2,2019-04-30
WMT,2020-12-02,2019Q3,2019-07-31
WMT,2020-12-02,2019Q4,2019-10-31
WMT,2021-03-19,2018Q1,2018-01-31
WMT,2022-03-18,2019Q1,2019-01-31
XOM,2014-02-26,2010Q4,2010-12-31
XOM,2015-02-25,2011Q4,2011-12-31
XOM,2016-02-24,2012Q4,2012-12-31
XOM,2017-02-22,2013Q4,2013-12-31
XOM,2018-02-28,2014Q4,2014-12-31
XOM,2018-05-03,2017Q1,2017-03-31
XOM,2018-08-02,2017Q2,2017-06-30
XOM,2018-11-07,2017Q3,2017-09-30
XOM,2019-02-27,2015Q4,2015-12-31
XOM,2019-08-07,2018Q1,2018-03-31
XOM,2019-11-06,2018Q2,2018-06-30
XOM,2019-11-06,2018Q3,2018-09-30
XOM,2020-02-26,2016Q4,2016-12-31
XOM,2020-08-05,2019Q1,2019-03-31
XOM,2020-11-04,2019Q2,2019-06-30
XOM,2020-11-04,2019Q3,2019-09-30
XOM,2021-02-24,2017Q4,2017-12-31
XOM,2021-08-04,2020Q1,2020-03-31
XOM,2021-11-03,2020Q2,2020-06-30
XOM,2021-11-03,2020Q3,2020-09-30
XOM,2022-02-23,2018Q4,2018-12-31
XOM,2022-08-03,2021Q1,2021-03-31
XOM,2022-11-02,2021Q2,2021-06-30
XOM,2022-11-02,2021Q3,2021-09-30
XOM,2023-02-22,2019Q4,2019-12-31
XOM,2023-08-01,2022Q1,2022-03-31
XOM,2023-10-31,2022Q2,2022-06-30
XOM,2023-10-31,2022Q3,2022-09-30
